timestamp,datetime,open,high,low,close,volume
1753426800000,2025-07-25 14:00:00,3359.329,3360.196,3352.636,3354.008,6093
1753430400000,2025-07-25 15:00:00,3354.041,3355.358,3344.551,3345.49,6303
1753434000000,2025-07-25 16:00:00,3345.495,3348.928,3343.037,3345.884,5637
1753437600000,2025-07-25 17:00:00,3345.889,3348.066,3340.997,3342.836,5669
1753441200000,2025-07-25 18:00:00,3342.898,3345.155,3338.621,3340.968,6550
1753444800000,2025-07-25 19:00:00,3341.008,3344.101,3336.303,3340.707,8791
1753448400000,2025-07-25 20:00:00,3340.721,3347.498,3336.804,3343.977,15979
1753452000000,2025-07-25 21:00:00,3343.935,3344.961,3330.523,3331.751,16412
1753455600000,2025-07-25 22:00:00,3331.724,3335.988,3324.928,3327.896,15550
1753459200000,2025-07-25 23:00:00,3327.844,3331.465,3326.161,3329.705,7371
1753462800000,2025-07-26 00:00:00,3329.74,3336.771,3329.609,3335.873,5865
1753466400000,2025-07-26 01:00:00,3335.974,3339.396,3335.825,3338.681,4356
1753470000000,2025-07-26 02:00:00,3338.776,3340.284,3337.237,3337.804,4428
1753473600000,2025-07-26 03:00:00,3337.769,3339.167,3336.217,3336.869,3544
1753653600000,2025-07-28 05:00:00,3329.144,3335.374,3323.792,3329.603,8558
1753657200000,2025-07-28 06:00:00,3329.587,3337.465,3329.391,3333.683,7406
1753660800000,2025-07-28 07:00:00,3333.675,3336.11,3327.64,3333.426,7735
1753664400000,2025-07-28 08:00:00,3333.398,3338.8,3329.874,3331.939,10849
1753668000000,2025-07-28 09:00:00,3331.975,3336.453,3330.546,3335.652,6083
1753671600000,2025-07-28 10:00:00,3335.546,3343.316,3334.399,3343.246,5162
1753675200000,2025-07-28 11:00:00,3343.199,3343.992,3339.432,3339.633,4560
1753678800000,2025-07-28 12:00:00,3339.584,3344.233,3338.029,3343.362,5404
1753682400000,2025-07-28 13:00:00,3343.333,3345.352,3335.806,3340.2,7142
1753686000000,2025-07-28 14:00:00,3340.13,3341.896,3333.785,3334.882,8029
